tenure_months,monthly_charges,support_calls,plan,region,churn
46.0,88.63,0.0,basic,coast,0
53.0,78.86,1.0,basic,coast,1
41.0,64.16,0.0,basic,coast,0
29.0,57.03,0.0,basic,south,0
39.0,73.83,0.0,plus,coast,0
47.0,84.92,1.0,plus,coast,0
69.0,76.71,1.0,basic,south,0
40.0,37.03,1.0,plus,north,0
40.0,60.92,2.0,premium,north,0
12.0,46.87,2.0,plus,north,1
33.0,68.37,3.0,basic,south,1
29.0,76.99,2.0,plus,north,0
5.0,84.89,0.0,plus,north,1
32.0,59.48,2.0,plus,south,0
38.0,69.05,2.0,basic,south,1
55.0,98.44,0.0,plus,north,0
65.0,65.21,0.0,basic,north,0
23.0,60.47,2.0,basic,north,1
61.0,,2.0,premium,coast,0
68.0,91.65,0.0,basic,south,0
71.0,107.2,0.0,basic,south,0
64.0,93.92,1.0,plus,south,0
52.0,99.34,1.0,basic,south,0
23.0,,1.0,plus,north,0
43.0,106.31,1.0,basic,coast,1
19.0,46.43,3.0,basic,south,1
18.0,101.98,0.0,plus,coast,0
38.0,63.4,2.0,plus,coast,0
13.0,61.11,0.0,plus,south,0
64.0,60.12,1.0,premium,coast,0
21.0,91.94,2.0,premium,south,0
33.0,53.09,1.0,plus,south,0
59.0,101.24,1.0,basic,coast,0
35.0,61.44,0.0,plus,south,0
17.0,50.08,1.0,basic,north,1
2.0,54.03,0.0,plus,south,0
36.0,72.48,0.0,plus,north,0
23.0,75.26,0.0,plus,south,0
21.0,51.78,1.0,plus,south,0
70.0,80.59,1.0,basic,coast,0
58.0,65.88,1.0,basic,south,0
35.0,36.5,1.0,basic,south,0
2.0,81.68,1.0,plus,north,1
48.0,61.77,0.0,basic,coast,0
47.0,89.44,0.0,basic,south,0
59.0,65.26,2.0,basic,coast,0
62.0,94.48,2.0,plus,north,0
23.0,31.38,3.0,plus,coast,0
15.0,85.19,1.0,premium,north,1
17.0,97.07,0.0,plus,south,0
40.0,45.94,1.0,plus,coast,0
45.0,83.8,2.0,basic,south,0
69.0,102.94,4.0,plus,north,0
16.0,88.58,1.0,plus,coast,1
37.0,50.2,1.0,basic,north,1
19.0,53.43,1.0,plus,coast,1
35.0,69.35,0.0,basic,north,0
3.0,94.01,1.0,basic,south,1
51.0,75.91,1.0,plus,south,0
4.0,62.11,1.0,basic,south,0
13.0,62.94,1.0,basic,coast,0
64.0,65.46,0.0,basic,south,0
52.0,44.82,1.0,plus,coast,0
5.0,76.65,0.0,plus,coast,1
32.0,72.41,1.0,basic,north,1
21.0,59.08,0.0,basic,coast,1
20.0,68.91,1.0,plus,north,0
12.0,69.49,0.0,premium,coast,1
53.0,54.81,0.0,basic,south,0
69.0,57.42,1.0,plus,coast,0
56.0,67.68,0.0,basic,north,0
65.0,65.66,0.0,basic,north,0
53.0,72.13,0.0,basic,south,0
67.0,67.58,2.0,basic,coast,0
60.0,83.25,0.0,basic,south,1
38.0,71.33,1.0,plus,coast,1
52.0,,1.0,plus,coast,0
1.0,88.42,1.0,basic,south,1
34.0,51.55,2.0,basic,south,0
59.0,74.41,2.0,basic,coast,0
60.0,38.11,1.0,basic,south,0
22.0,81.92,1.0,plus,coast,1
28.0,70.35,0.0,plus,south,0
40.0,67.29,2.0,basic,coast,1
6.0,94.89,1.0,plus,coast,1
13.0,,1.0,basic,south,0
20.0,54.3,1.0,basic,south,0
14.0,42.2,1.0,plus,north,0
5.0,91.88,2.0,basic,south,1
17.0,36.66,1.0,plus,south,0
34.0,76.71,2.0,plus,coast,0
47.0,94.37,3.0,premium,coast,0
13.0,31.98,3.0,premium,north,1
48.0,6.69,2.0,basic,north,0
14.0,102.36,0.0,plus,south,1
39.0,97.96,1.0,plus,coast,1
48.0,80.88,1.0,plus,coast,0
60.0,74.07,1.0,basic,coast,0
1.0,92.08,1.0,premium,coast,1
43.0,90.95,3.0,plus,south,0
24.0,64.28,0.0,premium,coast,0
3.0,73.21,2.0,basic,north,1
70.0,52.43,0.0,basic,north,0
71.0,74.25,1.0,plus,coast,0
19.0,89.69,0.0,plus,south,1
24.0,85.18,0.0,basic,south,0
51.0,133.88,2.0,basic,north,1
62.0,68.9,0.0,plus,north,0
37.0,90.86,0.0,plus,north,0
46.0,71.58,0.0,basic,south,0
37.0,82.68,3.0,basic,coast,1
29.0,83.92,1.0,basic,coast,0
11.0,85.91,0.0,plus,south,0
33.0,78.92,0.0,basic,coast,0
70.0,42.81,1.0,basic,coast,0
31.0,93.34,2.0,premium,south,0
65.0,70.11,0.0,plus,coast,0
14.0,57.9,0.0,basic,south,1
18.0,47.17,0.0,plus,coast,0
35.0,88.37,2.0,premium,north,1
60.0,59.19,2.0,basic,north,0
48.0,57.72,2.0,premium,north,0
61.0,67.29,0.0,basic,north,0
67.0,74.83,2.0,basic,south,0
21.0,,1.0,basic,south,0
8.0,75.81,0.0,plus,north,1
48.0,62.32,4.0,basic,south,0
68.0,70.24,3.0,basic,coast,1
61.0,27.36,0.0,plus,north,0
39.0,44.9,0.0,plus,north,0
14.0,86.06,0.0,basic,coast,0
7.0,74.44,0.0,basic,coast,1
41.0,67.61,0.0,plus,south,1
64.0,118.89,1.0,basic,south,0
63.0,43.04,0.0,basic,south,0
40.0,51.02,0.0,plus,coast,0
64.0,92.95,1.0,plus,south,1
17.0,70.29,0.0,basic,north,1
4.0,108.51,3.0,basic,coast,1
15.0,93.48,0.0,basic,coast,1
61.0,,4.0,basic,south,1
10.0,76.18,1.0,basic,south,1
29.0,65.13,3.0,basic,south,0
36.0,64.83,2.0,premium,south,1
58.0,51.13,0.0,basic,coast,0
29.0,69.33,0.0,basic,coast,0
18.0,43.15,1.0,plus,south,0
49.0,72.99,0.0,basic,south,0
21.0,60.18,0.0,basic,north,1
15.0,46.59,0.0,plus,north,0
65.0,63.66,1.0,plus,south,0
49.0,103.81,1.0,basic,coast,1
24.0,59.84,2.0,plus,south,0
26.0,28.05,2.0,plus,north,0
39.0,52.35,1.0,basic,coast,1
55.0,55.19,2.0,premium,south,0
71.0,69.32,2.0,premium,coast,0
48.0,63.81,1.0,plus,coast,0
32.0,73.17,2.0,basic,coast,1
55.0,46.55,2.0,premium,north,0
41.0,59.8,0.0,basic,north,0
71.0,73.99,0.0,premium,coast,0
71.0,98.27,3.0,basic,coast,0
14.0,69.77,1.0,basic,north,0
32.0,41.28,1.0,premium,north,0
48.0,131.29,1.0,basic,south,1
7.0,63.89,0.0,basic,south,1
64.0,69.62,0.0,basic,coast,0
19.0,83.56,1.0,plus,north,1
26.0,32.77,3.0,plus,coast,0
63.0,88.66,0.0,premium,south,0
33.0,65.2,1.0,basic,coast,0
3.0,57.81,1.0,basic,south,1
38.0,61.48,0.0,plus,south,0
33.0,58.96,1.0,premium,north,0
45.0,21.96,2.0,plus,coast,0
14.0,68.27,1.0,basic,north,0
14.0,85.0,1.0,basic,north,1
47.0,56.87,2.0,premium,south,0
28.0,76.16,1.0,plus,south,0
69.0,112.28,0.0,plus,north,0
64.0,91.59,1.0,basic,south,0
25.0,100.02,0.0,premium,south,0
9.0,73.49,1.0,basic,north,1
44.0,69.02,1.0,plus,coast,0
30.0,64.31,0.0,plus,north,1
46.0,101.66,0.0,basic,south,0
52.0,60.74,2.0,basic,north,0
35.0,50.61,0.0,basic,south,0
67.0,,2.0,plus,north,0
40.0,37.06,0.0,plus,coast,0
59.0,85.38,3.0,basic,south,1
57.0,48.15,2.0,basic,south,0
38.0,56.03,3.0,plus,north,0
71.0,111.69,4.0,basic,south,0
15.0,,3.0,premium,coast,0
26.0,76.17,0.0,plus,north,0
47.0,76.72,1.0,premium,coast,0
53.0,53.03,1.0,premium,south,0
57.0,96.69,0.0,basic,north,0
56.0,52.38,0.0,basic,north,0
14.0,58.89,0.0,basic,south,1
23.0,,3.0,plus,north,1
37.0,40.14,0.0,plus,north,0
37.0,70.9,0.0,basic,coast,1
16.0,77.03,0.0,premium,coast,0
70.0,78.9,2.0,plus,north,0
54.0,90.53,2.0,premium,coast,1
45.0,,0.0,basic,south,0
7.0,57.57,1.0,basic,coast,1
67.0,92.55,0.0,basic,coast,1
64.0,,1.0,basic,south,0
9.0,82.1,2.0,basic,north,1
44.0,90.08,1.0,basic,south,1
26.0,87.14,0.0,basic,coast,0
2.0,49.75,3.0,premium,south,1
56.0,59.31,2.0,basic,south,1
8.0,87.11,0.0,basic,south,1
9.0,79.41,0.0,basic,north,1
64.0,72.87,0.0,basic,south,0
30.0,51.84,1.0,premium,coast,0
40.0,85.31,1.0,basic,south,0
35.0,78.47,1.0,basic,north,1
59.0,74.07,2.0,basic,north,0
67.0,94.84,0.0,premium,south,0
16.0,86.99,3.0,premium,coast,1
45.0,,1.0,basic,coast,0
14.0,82.87,1.0,basic,south,0
18.0,88.28,1.0,basic,coast,0
58.0,47.94,0.0,basic,south,0
60.0,49.52,3.0,basic,north,0
56.0,80.17,1.0,plus,coast,0
20.0,79.95,1.0,plus,south,1
19.0,72.07,1.0,basic,south,0
20.0,66.85,0.0,premium,north,1
47.0,36.64,0.0,basic,north,0
41.0,33.12,1.0,basic,coast,1
17.0,79.43,3.0,basic,north,1
45.0,47.95,0.0,premium,south,0
33.0,60.32,1.0,plus,coast,0
23.0,54.62,4.0,premium,coast,1
23.0,76.71,1.0,plus,coast,1
39.0,,0.0,plus,north,0
32.0,53.64,2.0,basic,coast,1
34.0,57.54,5.0,basic,south,1
39.0,70.19,2.0,plus,south,0
65.0,48.74,0.0,basic,south,0
65.0,78.09,1.0,plus,south,0
20.0,54.0,0.0,basic,north,0
52.0,68.93,0.0,basic,north,0
42.0,76.15,0.0,basic,coast,0
4.0,113.7,0.0,basic,coast,1
50.0,88.62,0.0,plus,coast,0
24.0,41.0,2.0,plus,south,1
12.0,72.89,0.0,basic,south,0
41.0,59.44,3.0,plus,coast,1
51.0,92.11,1.0,basic,coast,1
52.0,83.61,2.0,plus,coast,0
6.0,64.56,0.0,basic,coast,1
43.0,56.7,1.0,basic,north,1
37.0,80.84,1.0,plus,south,1
49.0,43.55,0.0,basic,coast,0
50.0,64.4,1.0,plus,north,0
37.0,18.09,1.0,plus,coast,0
18.0,88.46,1.0,premium,south,1
22.0,77.88,1.0,basic,north,1
5.0,97.38,1.0,basic,north,1
43.0,65.77,1.0,basic,south,0
24.0,55.98,0.0,premium,south,0
21.0,62.83,1.0,plus,south,1
38.0,81.72,0.0,basic,coast,0
52.0,88.73,1.0,plus,north,1
13.0,52.61,1.0,basic,south,0
28.0,56.96,2.0,basic,coast,1
15.0,139.64,2.0,plus,coast,1
38.0,74.93,1.0,basic,south,0
40.0,103.46,1.0,plus,south,1
20.0,63.06,2.0,basic,north,1
11.0,98.87,2.0,plus,coast,1
2.0,74.6,1.0,plus,coast,1
16.0,43.75,1.0,premium,north,1
15.0,,3.0,basic,south,1
54.0,66.21,1.0,premium,south,0
55.0,7.08,3.0,basic,north,1
67.0,81.84,2.0,basic,coast,0
23.0,49.19,2.0,basic,north,0
25.0,74.23,2.0,basic,north,1
16.0,78.33,2.0,basic,coast,1
1.0,57.56,1.0,basic,south,1
49.0,40.08,0.0,plus,north,0
40.0,,0.0,premium,north,0
56.0,82.63,1.0,premium,north,0
40.0,44.32,0.0,plus,north,0
2.0,93.96,0.0,plus,coast,1
59.0,62.9,2.0,premium,north,0
71.0,68.94,0.0,premium,coast,0
13.0,57.89,1.0,plus,north,0
51.0,87.13,5.0,basic,south,1
39.0,34.83,2.0,plus,south,0
27.0,76.24,0.0,premium,coast,0
26.0,44.38,0.0,plus,coast,0
37.0,81.73,0.0,basic,south,1
26.0,96.61,0.0,plus,south,0
47.0,52.7,0.0,premium,north,0
25.0,78.67,0.0,premium,south,0
21.0,97.35,0.0,premium,north,0
14.0,64.84,0.0,plus,north,0
63.0,20.58,2.0,basic,south,0
16.0,71.85,2.0,plus,north,1
40.0,105.14,1.0,plus,coast,0
63.0,53.08,2.0,basic,coast,0
29.0,67.15,1.0,plus,north,0
64.0,55.72,1.0,premium,coast,0
51.0,73.5,0.0,basic,north,0
22.0,92.65,3.0,basic,south,1
11.0,95.62,2.0,plus,coast,1
67.0,45.4,0.0,premium,north,0
48.0,73.06,1.0,plus,coast,1
12.0,,2.0,basic,coast,1
18.0,59.93,1.0,basic,coast,1
69.0,57.51,3.0,basic,north,0
1.0,46.91,4.0,plus,north,1
59.0,12.84,2.0,basic,north,0
33.0,85.37,2.0,plus,south,0
69.0,89.34,0.0,plus,north,0
16.0,72.81,1.0,basic,coast,1
44.0,56.91,2.0,plus,coast,0
10.0,97.16,0.0,plus,south,0
42.0,76.34,2.0,basic,north,1
2.0,52.36,0.0,plus,north,0
65.0,56.68,1.0,basic,coast,0
65.0,103.34,2.0,basic,north,0
64.0,90.02,3.0,basic,south,0
44.0,66.08,0.0,basic,north,0
45.0,104.46,2.0,basic,north,1
14.0,60.18,2.0,basic,coast,1
71.0,88.82,3.0,basic,south,0
24.0,52.72,2.0,plus,coast,0
62.0,44.91,1.0,premium,north,0
30.0,52.39,0.0,basic,north,0
42.0,78.09,0.0,plus,coast,0
56.0,31.71,0.0,basic,north,0
49.0,90.26,3.0,basic,north,1
7.0,87.94,2.0,basic,north,1
6.0,69.7,4.0,plus,south,1
3.0,54.81,0.0,plus,south,1
26.0,73.42,2.0,premium,south,1
12.0,74.54,1.0,plus,south,0
30.0,34.57,4.0,plus,coast,0
48.0,63.11,3.0,plus,coast,0
18.0,87.35,0.0,basic,south,1
56.0,92.68,1.0,plus,north,0
2.0,77.93,0.0,plus,south,0
15.0,88.31,1.0,basic,south,0
26.0,44.96,6.0,premium,south,1
1.0,84.08,0.0,premium,north,1
2.0,75.24,2.0,premium,coast,1
2.0,87.98,2.0,plus,north,1
50.0,61.53,1.0,basic,north,0
1.0,58.11,0.0,plus,north,1
48.0,49.39,0.0,premium,north,0
25.0,69.13,0.0,plus,coast,0
17.0,61.54,2.0,premium,south,0
66.0,77.71,2.0,plus,south,0
19.0,76.17,0.0,basic,north,0
25.0,79.27,1.0,plus,north,0
20.0,85.67,0.0,plus,coast,1
8.0,81.71,1.0,plus,north,1
20.0,82.23,3.0,basic,coast,1
16.0,86.14,2.0,basic,north,1
31.0,61.12,1.0,plus,south,1
46.0,87.6,1.0,basic,north,0
70.0,103.26,0.0,basic,coast,0
2.0,41.95,0.0,basic,north,0
31.0,11.04,2.0,basic,south,0
18.0,62.83,4.0,premium,north,0
69.0,81.47,0.0,plus,coast,0
46.0,76.72,2.0,premium,north,0
47.0,59.24,3.0,plus,north,0
57.0,106.46,1.0,plus,south,1
43.0,65.51,1.0,premium,coast,0
41.0,69.07,1.0,plus,south,0
11.0,89.54,0.0,basic,coast,1
62.0,43.35,2.0,premium,south,0
59.0,76.69,2.0,basic,south,0
19.0,77.29,2.0,premium,south,1
59.0,54.4,2.0,basic,south,0
16.0,81.83,2.0,basic,south,0
53.0,81.89,1.0,basic,north,0
45.0,33.89,1.0,basic,north,1
27.0,64.54,1.0,basic,south,0
64.0,112.47,2.0,basic,coast,1
50.0,70.8,0.0,basic,coast,0
39.0,73.07,0.0,plus,south,0
59.0,78.95,2.0,plus,coast,0
40.0,63.86,4.0,basic,coast,1
7.0,80.43,1.0,basic,north,1
38.0,84.53,1.0,basic,south,0
2.0,75.34,0.0,plus,coast,0
45.0,62.3,1.0,basic,south,0
55.0,63.91,0.0,plus,south,0
36.0,84.7,2.0,plus,north,1
17.0,85.27,0.0,basic,coast,1
37.0,66.07,2.0,plus,coast,0
41.0,58.11,0.0,premium,coast,0
66.0,94.49,1.0,basic,south,0
8.0,54.26,1.0,basic,south,1
56.0,30.8,1.0,basic,coast,0
10.0,50.39,1.0,basic,south,0
71.0,76.93,0.0,basic,coast,0
66.0,29.23,0.0,basic,south,0
26.0,65.21,2.0,basic,south,1
68.0,85.11,0.0,basic,coast,0
1.0,104.8,2.0,basic,north,1
50.0,59.24,1.0,plus,north,0
60.0,66.15,1.0,basic,coast,0
6.0,67.79,0.0,basic,coast,1
5.0,97.39,1.0,basic,north,1
3.0,76.48,0.0,premium,coast,0
61.0,61.53,0.0,basic,south,0
57.0,90.44,3.0,premium,north,1
34.0,53.8,0.0,basic,south,1
66.0,50.62,0.0,plus,north,0
57.0,59.55,1.0,plus,south,0
45.0,34.65,1.0,plus,north,0
57.0,61.28,1.0,plus,south,1
49.0,57.97,2.0,premium,south,0
13.0,,0.0,premium,south,1
64.0,66.61,0.0,premium,south,0
47.0,59.71,1.0,basic,coast,1
17.0,58.75,1.0,premium,coast,0
21.0,100.63,1.0,plus,north,0
26.0,71.73,1.0,basic,coast,0
66.0,61.43,0.0,basic,coast,0
59.0,63.39,3.0,plus,south,0
44.0,81.54,3.0,premium,north,0
61.0,80.8,3.0,premium,coast,1
62.0,61.44,1.0,plus,coast,0
7.0,70.82,1.0,basic,coast,1
36.0,,1.0,basic,south,0
47.0,36.99,1.0,basic,coast,0
29.0,57.44,0.0,plus,north,0
6.0,82.49,0.0,basic,north,1
65.0,46.37,1.0,basic,coast,0
53.0,82.28,1.0,premium,coast,0
50.0,95.49,1.0,basic,north,0
48.0,68.47,1.0,plus,north,1
3.0,50.53,0.0,plus,coast,1
15.0,73.65,1.0,plus,north,0
9.0,45.86,1.0,basic,north,1
9.0,63.08,1.0,basic,south,1
67.0,,3.0,plus,coast,0
9.0,67.46,0.0,basic,coast,1
19.0,88.8,0.0,basic,north,1
70.0,89.06,2.0,basic,south,0
34.0,68.35,1.0,basic,south,1
31.0,75.45,3.0,basic,coast,1
58.0,96.25,0.0,plus,south,0
18.0,71.9,0.0,plus,south,1
16.0,83.04,1.0,plus,coast,1
18.0,57.68,1.0,basic,south,0
68.0,51.8,4.0,basic,south,1
14.0,79.68,0.0,basic,south,0
9.0,73.94,3.0,plus,coast,0
23.0,103.58,0.0,plus,coast,0
24.0,32.82,2.0,plus,north,0
10.0,51.93,2.0,plus,north,1
26.0,59.23,3.0,basic,north,1
29.0,81.65,1.0,plus,south,0
65.0,44.14,1.0,basic,south,0
57.0,,2.0,basic,north,1
51.0,71.32,0.0,basic,north,0
46.0,87.47,1.0,basic,south,0
12.0,73.42,1.0,plus,north,1
26.0,44.53,0.0,basic,coast,0
53.0,63.13,0.0,basic,north,1
32.0,60.72,2.0,plus,south,0
14.0,54.35,0.0,basic,coast,0
6.0,,0.0,premium,north,0
53.0,46.08,1.0,basic,coast,0
61.0,60.36,2.0,plus,north,0
45.0,64.33,1.0,basic,south,0
9.0,79.13,1.0,basic,south,0
45.0,64.04,1.0,basic,north,0
57.0,59.14,4.0,plus,south,0
32.0,74.27,1.0,basic,coast,1
43.0,114.52,1.0,plus,north,0
51.0,80.92,1.0,basic,north,0
46.0,74.39,1.0,plus,coast,0
17.0,111.42,3.0,basic,south,1
60.0,99.67,0.0,plus,north,0
42.0,87.98,2.0,basic,north,1
8.0,55.36,3.0,plus,coast,0
8.0,44.17,2.0,basic,north,1
16.0,85.9,2.0,plus,south,1
18.0,92.57,0.0,basic,north,1
27.0,42.98,1.0,basic,south,1
34.0,77.71,1.0,basic,north,0
35.0,74.27,0.0,basic,south,0
9.0,59.6,2.0,basic,south,1
50.0,22.57,0.0,basic,north,0
39.0,32.79,1.0,premium,south,0
41.0,75.92,1.0,basic,coast,0
26.0,33.62,3.0,premium,south,1
46.0,,2.0,plus,north,0
50.0,47.14,1.0,plus,coast,0
7.0,94.52,3.0,basic,coast,1
9.0,45.83,1.0,plus,north,1
16.0,71.34,3.0,basic,coast,1
31.0,51.14,1.0,plus,south,0
44.0,62.63,1.0,basic,coast,0
40.0,48.86,2.0,basic,south,0
54.0,89.1,1.0,basic,south,0
35.0,77.21,1.0,basic,coast,0
14.0,84.09,2.0,basic,north,1
4.0,71.56,2.0,basic,north,1
17.0,87.32,1.0,basic,south,0
55.0,82.26,1.0,basic,north,0
53.0,102.61,2.0,basic,north,1
47.0,75.43,3.0,premium,south,0
6.0,75.06,0.0,plus,coast,0
60.0,64.59,0.0,premium,coast,0
20.0,59.06,1.0,basic,north,1
53.0,55.79,3.0,plus,north,0
17.0,101.79,2.0,basic,north,1
45.0,53.78,2.0,basic,north,0
54.0,88.65,2.0,plus,south,1
67.0,38.72,1.0,plus,coast,0
22.0,62.77,3.0,premium,south,1
13.0,50.61,1.0,plus,north,0
28.0,61.16,0.0,basic,coast,0
46.0,68.2,1.0,basic,coast,0
31.0,90.1,2.0,plus,south,1
62.0,69.47,2.0,plus,north,0
8.0,34.64,1.0,basic,north,0
69.0,84.78,1.0,plus,south,1
54.0,68.89,1.0,basic,south,1
11.0,46.23,2.0,premium,south,1
18.0,50.58,1.0,premium,south,0
26.0,56.04,2.0,premium,north,0
52.0,98.6,1.0,plus,coast,0
10.0,,0.0,plus,coast,1
62.0,57.74,2.0,basic,north,0
3.0,92.46,1.0,basic,coast,1
35.0,71.27,0.0,basic,south,0
28.0,97.77,1.0,premium,south,0
40.0,96.57,0.0,premium,north,0
52.0,43.79,1.0,basic,south,0
28.0,65.69,0.0,basic,coast,1
24.0,50.91,1.0,plus,coast,0
36.0,79.62,1.0,plus,south,0
55.0,52.22,0.0,basic,south,0
33.0,80.4,2.0,basic,south,1
12.0,34.75,0.0,basic,south,0
60.0,40.06,2.0,basic,south,0
43.0,40.29,1.0,basic,coast,0
56.0,48.9,0.0,basic,north,0
43.0,38.38,1.0,plus,south,0
43.0,94.43,3.0,plus,coast,1
70.0,113.06,1.0,premium,south,1
61.0,81.11,2.0,plus,south,0
9.0,60.05,1.0,basic,north,1
8.0,35.5,1.0,basic,coast,1
28.0,56.53,1.0,basic,north,0
51.0,40.5,2.0,basic,north,1
10.0,68.97,1.0,basic,north,1
22.0,101.19,1.0,basic,coast,0
13.0,78.39,2.0,basic,north,1
64.0,104.39,1.0,plus,coast,1
13.0,54.29,3.0,plus,north,0
26.0,97.97,0.0,basic,north,1
18.0,,1.0,premium,south,0
18.0,86.15,1.0,plus,coast,0
16.0,78.84,0.0,basic,north,0
40.0,115.24,1.0,plus,north,0
56.0,77.09,3.0,premium,north,0
18.0,93.28,0.0,basic,north,1
55.0,79.82,3.0,plus,north,1
42.0,106.42,1.0,basic,coast,1
19.0,89.2,1.0,premium,south,0
32.0,80.47,2.0,basic,north,1
23.0,71.99,1.0,basic,north,1
63.0,71.93,1.0,plus,coast,0
71.0,91.16,3.0,basic,coast,0
49.0,80.92,1.0,basic,coast,1
15.0,60.81,1.0,plus,south,0
69.0,,2.0,basic,coast,0
66.0,63.67,0.0,plus,south,0
70.0,70.99,1.0,plus,north,0
32.0,47.18,1.0,basic,coast,0
59.0,47.82,2.0,basic,coast,0
18.0,95.65,0.0,plus,north,1
30.0,91.19,2.0,plus,north,0
4.0,77.88,1.0,basic,coast,1
50.0,67.63,0.0,basic,coast,0
63.0,75.93,1.0,plus,north,0
31.0,60.42,0.0,premium,north,0
57.0,32.09,1.0,basic,coast,0
14.0,73.93,0.0,plus,coast,0
50.0,52.01,0.0,basic,south,0
27.0,93.04,1.0,plus,south,1
28.0,87.47,2.0,basic,coast,1
57.0,11.24,0.0,basic,coast,0
32.0,73.47,3.0,basic,coast,0
9.0,80.07,1.0,basic,south,0
32.0,66.37,2.0,basic,north,0
43.0,51.11,4.0,basic,coast,0
58.0,72.08,1.0,plus,coast,0
46.0,66.28,1.0,basic,south,0
68.0,89.53,0.0,plus,coast,0
70.0,87.42,1.0,plus,north,0
71.0,84.8,2.0,basic,north,0
3.0,85.96,0.0,basic,south,1
2.0,92.28,2.0,plus,south,0
66.0,83.7,1.0,plus,north,0
18.0,69.48,0.0,plus,north,0
56.0,85.48,2.0,plus,coast,0
26.0,74.36,1.0,plus,coast,1
55.0,37.86,0.0,plus,south,0
29.0,48.07,1.0,plus,south,0
43.0,65.72,2.0,premium,north,0
32.0,78.17,2.0,premium,south,1
52.0,,2.0,basic,south,0
60.0,69.17,1.0,premium,coast,0
3.0,64.89,0.0,basic,north,0
3.0,82.19,4.0,plus,south,1
51.0,67.36,0.0,basic,coast,0
18.0,45.82,2.0,plus,coast,0
12.0,87.17,2.0,basic,south,1
26.0,105.37,2.0,basic,north,1
52.0,86.01,2.0,basic,coast,0
18.0,81.48,1.0,basic,coast,1
41.0,75.79,3.0,basic,north,1
29.0,49.39,0.0,plus,north,0
13.0,60.0,1.0,plus,north,0
42.0,87.94,1.0,basic,north,0
22.0,90.8,3.0,basic,north,1
36.0,94.68,0.0,plus,north,0
33.0,65.25,0.0,premium,south,0
8.0,81.95,4.0,plus,north,1
69.0,78.82,0.0,basic,north,0
40.0,49.82,2.0,premium,north,0
33.0,67.75,5.0,plus,coast,1
51.0,53.55,0.0,premium,south,0
55.0,55.95,1.0,basic,south,0
9.0,41.56,1.0,basic,coast,1
37.0,64.07,2.0,plus,south,0
63.0,52.98,2.0,basic,coast,0
35.0,84.95,3.0,plus,coast,0
47.0,94.18,2.0,basic,north,1
17.0,71.16,5.0,basic,north,1
50.0,105.09,0.0,plus,north,0
31.0,82.42,1.0,basic,coast,1
43.0,95.0,1.0,premium,south,0
50.0,31.86,2.0,basic,south,0
29.0,71.55,0.0,basic,coast,0
30.0,63.08,1.0,basic,coast,0
38.0,54.7,0.0,premium,south,0
62.0,64.29,1.0,plus,south,0
66.0,84.22,1.0,basic,south,0
3.0,55.14,1.0,plus,coast,0
48.0,66.08,3.0,premium,coast,1
12.0,69.32,2.0,basic,north,1
